# t,He(g),He(aq),Ne(g),Ne(aq),Ar(g),Ar(aq)
1.570318359225559429e-02,9.858269035013141890e-01,1.417309649868592029e-02,9.859075538020123375e-01,1.409244619798763823e-02,9.861099923754994556e-01,1.389000762450043509e-02
1.676152125558683439e-02,9.849738857408439907e-01,1.502611425915605439e-02,9.850649066358269090e-01,1.493509336417308056e-02,9.852931692348479986e-01,1.470683076515196148e-02
1.808831959666577435e-02,9.839212987339710503e-01,1.607870126602901559e-02,9.840260504318060208e-01,1.597394956819397221e-02,9.842884502403431712e-01,1.571154975965670386e-02
1.828529591518563910e-02,9.837666083138461026e-01,1.623339168615398065e-02,9.838734658851326920e-01,1.612653411486728722e-02,9.841410960495829974e-01,1.585890395041695405e-02
1.847728043923282243e-02,9.836162273604103223e-01,1.638377263958977481e-02,9.837251539094759023e-01,1.627484609052401790e-02,9.839979214755575354e-01,1.600207852444233969e-02
1.980907057478444033e-02,9.825835388635456580e-01,1.741646113645447386e-02,9.827072573758086627e-01,1.729274262419131653e-02,9.830167171888085642e-01,1.698328281119133171e-02
2.083573078725794656e-02,9.817998376615860723e-01,1.820016233841403527e-02,9.819354692263989604e-01,1.806453077360101536e-02,9.822744340927274109e-01,1.772556590727249887e-02
2.133284523438324504e-02,9.814241902921809757e-01,1.857580970781912838e-02,9.815657447913258560e-01,1.843425520867404688e-02,9.819193641984322873e-01,1.808063580156761899e-02
2.155580162204790914e-02,9.812565162719008027e-01,1.874348372809926319e-02,9.814007593234266302e-01,1.859924067657335589e-02,9.817610275649674145e-01,1.823897243503249874e-02
2.285661989398204627e-02,9.802880836546414844e-01,1.971191634535859882e-02,9.804484012410423777e-01,1.955159875895755989e-02,9.808483817647359881e-01,1.915161823526394941e-02
2.400044266793641828e-02,9.794502494840630069e-01,2.054975051593712493e-02,9.796252323280484342e-01,2.037476767195153110e-02,9.800613844357325410e-01,1.993861556426738263e-02
2.438039455358085097e-02,9.791747428988581969e-01,2.082525710114184817e-02,9.793547033213144681e-01,2.064529667868554227e-02,9.798031199445939032e-01,2.019688005540603085e-02
2.463432280486299586e-02,9.789913906228996376e-01,2.100860937710043869e-02,9.791747066024403257e-01,2.082529339755965353e-02,9.796313876433008216e-01,2.036861235669909162e-02
2.590416921317965568e-02,9.780837038023237895e-01,2.191629619767634929e-02,9.782841413860726698e-01,2.171585861392730937e-02,9.787829482597459885e-01,2.121705174025396989e-02
2.742794387277845691e-02,9.770145348845933331e-01,2.298546511540671897e-02,9.772362436120095586e-01,2.276375638799035123e-02,9.777872888412671992e-01,2.221271115873267588e-02
2.764583849437946342e-02,9.768634094395807210e-01,2.313659056041932061e-02,9.770882223995788207e-01,2.291177760042118622e-02,9.776468823778092787e-01,2.235311762219067619e-02
2.771284398767808257e-02,9.768170242920177770e-01,2.318297570798229582e-02,9.770427949246663912e-01,2.295720507533353591e-02,9.776038036528487130e-01,2.239619634715125235e-02
2.895171853237726162e-02,9.759668046652224538e-01,2.403319533477759826e-02,9.762105381758178213e-01,2.378946182418217176e-02,9.768155638202328239e-01,2.318443617976707546e-02
3.047549319197606285e-02,9.749400816637664446e-01,2.505991833623360393e-02,9.752065532541897008e-01,2.479344674581025754e-02,9.758671953277178179e-01,2.413280467228208145e-02
3.079136517049316929e-02,9.747298353542983573e-01,2.527016464570176063e-02,9.750011059946186442e-01,2.499889400538128637e-02,9.756734720731946586e-01,2.432652792680525117e-02
3.184492872201800245e-02,9.740349311639147079e-01,2.596506883608539623e-02,9.743224146623981063e-01,2.567758533760182774e-02,9.750343528615417199e-01,2.496564713845825234e-02
3.199926785157486409e-02,9.739339498666481632e-01,2.606605013335197216e-02,9.742238347578899837e-01,2.577616524211000584e-02,9.749416296989678044e-01,2.505837030103215748e-02
3.352304251117366879e-02,9.729479827507530043e-01,2.705201724924710671e-02,9.732619166885764228e-01,2.673808331142348352e-02,9.740382975121266718e-01,2.596170248787326232e-02
3.386988635330825254e-02,9.727263261481560175e-01,2.727367385184404497e-02,9.730458185561156048e-01,2.695418144388437784e-02,9.738357233191179407e-01,2.616427668088204886e-02
3.504681717077247349e-02,9.719817500298733037e-01,2.801824997012685586e-02,9.723203288552252355e-01,2.767967114477472290e-02,9.731566240480041818e-01,2.684337595199572102e-02
3.657059183037127820e-02,9.710348772367050074e-01,2.896512276329512442e-02,9.713986650496920783e-01,2.860133495030786968e-02,9.722961218480438150e-01,2.770387815195615722e-02
3.668181326880631810e-02,9.709665122783049940e-01,2.903348772169510664e-02,9.713321613447619685e-01,2.866783865523799338e-02,9.722341290161252703e-01,2.776587098387465341e-02
3.694840753612333578e-02,9.708030545625635499e-01,2.919694543743657500e-02,9.711731764678870338e-01,2.882682353211284826e-02,9.720859816607615445e-01,2.791401833923842085e-02
3.809436648997008290e-02,9.701069899039442834e-01,2.989301009605581719e-02,9.704965190638328298e-01,2.950348093616707648e-02,9.714563034536887187e-01,2.854369654631119801e-02
3.961814114956888067e-02,9.691977135642872998e-01,3.080228643571284591e-02,9.696134846895034798e-01,3.038651531049648899e-02,9.706366814063824844e-01,2.936331859361746704e-02
4.002692871893842597e-02,9.689568972573965322e-01,3.104310274260356495e-02,9.693797894761690959e-01,3.062021052383087638e-02,9.704201720930121233e-01,2.957982790698785933e-02
4.114191580916768537e-02,9.683066737504300026e-01,3.169332624957011540e-02,9.687491557185596847e-01,3.125084428144025983e-02,9.698367682475683704e-01,3.016323175243159488e-02
4.225336587917194464e-02,9.676680313933331279e-01,3.233196860666697620e-02,9.681302739214370234e-01,3.186972607856286555e-02,9.692654580107659124e-01,3.073454198923408071e-02
4.266569046876649007e-02,9.674334959950685597e-01,3.256650400493154435e-02,9.679031259428574341e-01,3.209687405714254510e-02,9.690560765186897463e-01,3.094392348131020862e-02
4.310544990175350921e-02,9.671847662268954204e-01,3.281523377310471140e-02,9.676623078276567202e-01,3.233769217234316873e-02,9.688342748394704884e-01,3.116572516052943526e-02
4.418946512836529478e-02,9.665778312056009236e-01,3.342216879439914579e-02,9.670750180258060880e-01,3.292498197419380795e-02,9.682941574049860334e-01,3.170584259501391805e-02
4.571323978796409254e-02,9.657392988334263517e-01,3.426070116657370379e-02,9.662644191318805476e-01,3.373558086811937612e-02,9.675505155822223813e-01,3.244948441777764647e-02
4.618397108456859940e-02,9.654836650581761770e-01,3.451633494182389239e-02,9.660174864646290382e-01,3.398251353537094094e-02,9.673244119087114345e-01,3.267558809128860015e-02
4.723701444756289725e-02,9.649175559037990180e-01,3.508244409620109305e-02,9.654709591238246347e-01,3.452904087617524737e-02,9.668247126872271391e-01,3.317528731277281234e-02
4.867117432380043546e-02,9.641591909315281317e-01,3.584080906847190301e-02,9.647395113609374961e-01,3.526048863906245528e-02,9.661575290671232663e-01,3.384247093287669206e-02
4.876078910716170195e-02,9.641122819901751795e-01,3.588771800982491766e-02,9.646942934741672415e-01,3.530570652583266827e-02,9.661163444766167618e-01,3.388365552338327286e-02
4.926249226738368264e-02,9.638506948076580594e-01,3.614930519234197531e-02,9.644421926684272339e-01,3.555780733157266893e-02,9.658868605939322505e-01,3.411313940606775647e-02
5.028456376676050665e-02,9.633231566660113154e-01,3.667684333398876784e-02,9.639340776554370382e-01,3.606592234456285073e-02,9.654250067070071495e-01,3.457499329299289215e-02
5.180833842635931136e-02,9.625498595047637940e-01,3.745014049523624072e-02,9.631899671401629170e-01,3.681003285983703438e-02,9.647502951350144240e-01,3.524970486498552047e-02
5.234101345019876589e-02,9.622832078921998988e-01,3.771679210780015667e-02,9.629335794000629667e-01,3.706642059993695698e-02,9.645182794399256299e-01,3.548172056007437014e-02
5.333211308595810912e-02,9.617920700798890943e-01,3.820792992011092654e-02,9.624616174008734371e-01,3.753838259912643804e-02,9.640918055172549295e-01,3.590819448274504277e-02
5.485588774555691383e-02,9.610494679648435845e-01,3.895053203515643631e-02,9.617486839100976015e-01,3.825131608990230830e-02,9.634491336103446768e-01,3.655086638965530932e-02
5.541953463301385607e-02,9.607785804648644179e-01,3.922141953513564455e-02,9.614888263879057817e-01,3.851117361209411422e-02,9.632153620156723717e-01,3.678463798432753118e-02
5.606377529382742392e-02,9.604714315160488569e-01,3.952856848395117084e-02,9.611943175060236877e-01,3.880568249397616659e-02,9.629507229374465460e-01,3.704927706255339848e-02
5.637966240515571853e-02,9.603217833867038200e-01,3.967821661329617305e-02,9.610508792141404522e-01,3.894912078585946458e-02,9.628219496887977513e-01,3.717805031120218623e-02
5.790343706475452323e-02,9.596086461812284307e-01,4.039135381877164560e-02,9.603678031262685710e-01,3.963219687373129713e-02,9.622097781240632752e-01,3.779022187593665538e-02
5.849805581582893932e-02,9.593342465241381234e-01,4.066575347586194600e-02,9.601051793229840037e-01,3.989482067701594081e-02,9.619748906544525191e-01,3.802510934554748090e-02
5.942721172435332100e-02,9.589097807135424922e-01,4.109021928645754246e-02,9.596991617998169577e-01,4.030083820018293822e-02,9.616122815492387232e-01,3.838771845076119349e-02
6.095098638395212570e-02,9.582249178989346028e-01,4.177508210106541803e-02,9.590446687568072726e-01,4.095533124319258172e-02,9.610291321787922669e-01,3.897086782120764981e-02
6.157657699864402950e-02,9.579477371683279285e-01,4.205226283167209922e-02,9.587799945552051284e-01,4.122000544479473283e-02,9.607937963402977122e-01,3.920620365970226007e-02
6.247476104355093041e-02,9.575537886526932496e-01,4.244621134730683365e-02,9.584040375192615091e-01,4.159596248073839375e-02,9.604600022271920778e-01,3.953999777280789441e-02
6.399853570314972817e-02,9.568961238901066979e-01,4.310387610989332291e-02,9.577769816092013277e-01,4.222301839079856123e-02,9.599045639089062165e-01,4.009543609109375573e-02
6.457922875018380637e-02,9.566489824818197318e-01,4.335101751818030980e-02,9.575415304201690958e-01,4.245846957983077929e-02,9.596964273417829538e-01,4.030357265821699758e-02
6.465509818145910581e-02,9.566168334182856281e-01,4.338316658171444129e-02,9.575109096736528214e-01,4.248909032634703986e-02,9.596693760238370619e-01,4.033062397616292427e-02
6.552231036274853981e-02,9.562516545264635459e-01,4.374834547353644715e-02,9.571632145486486110e-01,4.283678545135126414e-02,9.593624894384028545e-01,4.063751056159711772e-02
6.704608502234733758e-02,9.556201114770522809e-01,4.437988852294773995e-02,9.565624498596252412e-01,4.343755014037466861e-02,9.588334510301501634e-01,4.116654896984980883e-02
6.773361936427418906e-02,9.553393162948626838e-01,4.466068370513735786e-02,9.562955622674105260e-01,4.370443773258941844e-02,9.585989266556994570e-01,4.140107334430055686e-02
6.856985968194614922e-02,9.550012256571612790e-01,4.499877434283877653e-02,9.559744010641528789e-01,4.402559893584696155e-02,9.583171208986162037e-01,4.168287910138369912e-02
7.009363434154494699e-02,9.543947610965906048e-01,4.560523890340947850e-02,9.553988185986778126e-01,4.460118140132206255e-02,9.578132181602722062e-01,4.218678183972779383e-02
7.081214054708927230e-02,9.541130218654120254e-01,4.588697813458798153e-02,9.551316513891048299e-01,4.486834861089497584e-02,9.575798236091980220e-01,4.242017639080195024e-02
7.161740900114374475e-02,9.538004332612752822e-01,4.619956673872478020e-02,9.548353991070035462e-01,4.516460089299633579e-02,9.573213947124753487e-01,4.267860528752461663e-02
7.314118366074255639e-02,9.532179950128422119e-01,4.678200498715787137e-02,9.542838808331352007e-01,4.571611916686462579e-02,9.568413550179561966e-01,4.315864498204377564e-02
7.389066172990435555e-02,9.529358133224934413e-01,4.706418667750660034e-02,9.540169079652908168e-01,4.598309203470898193e-02,9.566094881047874088e-01,4.339051189521254265e-02
7.438808328749355048e-02,9.527500771886487918e-01,4.724992281135131922e-02,9.538412650537072546e-01,4.615873494629256502e-02,9.564571238751339299e-01,4.354287612486607006e-02
7.466495832034135416e-02,9.526472233160870884e-01,4.735277668391291855e-02,9.537440288398715271e-01,4.625597116012829940e-02,9.563728374488397188e-01,4.362716255116021874e-02
7.618873297994016580e-02,9.520878951358059394e-01,4.791210486419414383e-02,9.532156081900110545e-01,4.678439180998875124e-02,9.559155803772509952e-01,4.408441962274890769e-02
7.696918291271945267e-02,9.518057765624500233e-01,4.819422343755001836e-02,9.529493113232490042e-01,4.705068867675080840e-02,9.556856573968706137e-01,4.431434260312933776e-02
7.771250763953896357e-02,9.515397874367943487e-01,4.846021256320572068e-02,9.526983839463525339e-01,4.730161605364734123e-02,9.554693221753151056e-01,4.453067782468479729e-02
7.923628229913776133e-02,9.510026771838482329e-01,4.899732281615185731e-02,9.521921211716943834e-01,4.780787882830545704e-02,9.550338012151571299e-01,4.496619878484284932e-02
8.004770409553453592e-02,9.507210723486169135e-01,4.927892765138316977e-02,9.519269240777298302e-01,4.807307592226999632e-02,9.548061739983283447e-01,4.519382600167159980e-02
8.076005695873657297e-02,9.504763413417632867e-01,4.952365865823674107e-02,9.516965849288353541e-01,4.830341507116448635e-02,9.546087558689019259e-01,4.539124413109802553e-02
8.228383161833537074e-02,9.499605568753355378e-01,5.003944312466457323e-02,9.512115402805740860e-01,4.878845971942580295e-02,9.541939245086746846e-01,4.580607549132526685e-02
8.312622527834961916e-02,9.496798614443290321e-01,5.032013855567099569e-02,9.509478088434837328e-01,4.905219115651610062e-02,9.539688804220413099e-01,4.603111957795859993e-02
8.380760627793416850e-02,9.494551175088221662e-01,5.054488249117788934e-02,9.507367707608230800e-01,4.926322923917675345e-02,9.537890683042865581e-01,4.621093169571337950e-02
8.533138093753298015e-02,9.489598064567766889e-01,5.104019354322343605e-02,9.502720485308725484e-01,4.972795146912729891e-02,9.533939350617072206e-01,4.660606493829270308e-02
8.568679190321454309e-02,9.488457095685310927e-01,5.115429043146894894e-02,9.501650732466102589e-01,4.983492675338961619e-02,9.533031411925272369e-01,4.669685880747267287e-02
8.620474646116470241e-02,9.486803916419309646e-01,5.131960835806916033e-02,9.500101246806577082e-01,4.998987531934210443e-02,9.531717399033022842e-01,4.682826009669772971e-02
8.685515559713177791e-02,9.484744002005625063e-01,5.152559979943754226e-02,9.498171383758444719e-01,5.018286162415536850e-02,9.530082636212152680e-01,4.699173637878469034e-02
8.837893025673058955e-02,9.479987138738527053e-01,5.200128612614735024e-02,9.493718476265189388e-01,5.062815237348092939e-02,9.526318451598507764e-01,4.736815484014919586e-02
8.928326764397978565e-02,9.477209217241266970e-01,5.227907827587340017e-02,9.491120440728816332e-01,5.088795592711816557e-02,9.524127364054172373e-01,4.758726359458277655e-02
8.990270491632938732e-02,9.475325626103201504e-01,5.246743738967997450e-02,9.489359836136759263e-01,5.106401638632393492e-02,9.522644708546539327e-01,4.773552914534604646e-02
9.142647957592818508e-02,9.470757615436374843e-01,5.292423845636254343e-02,9.485093536680955228e-01,5.149064633190435919e-02,9.519059318826649241e-01,4.809406811733508286e-02
9.236178882679488278e-02,9.467999234004940146e-01,5.320007659950605483e-02,9.482519739984411888e-01,5.174802600155865850e-02,9.516901427252008050e-01,4.830985727479912561e-02
9.295025423552699673e-02,9.466281258074779048e-01,5.337187419252219234e-02,9.480917651205577057e-01,5.190823487944216247e-02,9.515560194209238265e-01,4.844398057907615962e-02
9.447402889512579449e-02,9.461894705355140545e-01,5.381052946448603574e-02,9.476830253018425632e-01,5.231697469815730500e-02,9.512145246464708270e-01,4.878547535352911052e-02
9.544031000960996602e-02,9.459158721900515765e-01,5.408412780994847208e-02,9.474283256306089696e-01,5.257167436939091248e-02,9.510022368257864400e-01,4.899776317421357386e-02
9.599780355472460613e-02,9.457596108614189090e-01,5.424038913858121591e-02,9.472829415427300725e-01,5.271705845726975398e-02,9.508812387363462237e-01,4.911876126365377626e-02
9.752157821432340390e-02,9.453383699429369624e-01,5.466163005706316941e-02,9.468913299040762066e-01,5.310867009592364768e-02,9.505559632939628578e-01,4.944403670603715606e-02
9.851883119242504927e-02,9.450672937657842443e-01,5.493270623421589449e-02,9.466395647558747406e-01,5.336043524412503042e-02,9.503473620404582212e-01,4.965263795954174414e-02
9.870164658348153097e-02,9.450179864616889969e-01,5.498201353831105864e-02,9.465937900520300374e-01,5.340620994796979604e-02,9.503094772402672641e-01,4.969052275973274979e-02
9.904535287392220166e-02,9.449256070760142512e-01,5.507439292398579045e-02,9.465080458831578447e-01,5.349195411684192630e-02,9.502385473922885240e-01,4.976145260771144135e-02
1.005691275335210133e-01,9.445210772757440809e-01,5.547892272425598847e-02,9.461328316676780315e-01,5.386716833232175344e-02,9.499287052283679200e-01,5.007129477163210080e-02
1.015973523752401325e-01,9.442526826474915147e-01,5.574731735250855469e-02,9.458841243784756880e-01,5.411587562152413849e-02,9.497238260011987565e-01,5.027617399880122961e-02
1.020929021931198111e-01,9.441246317123963561e-01,5.587536828760373414e-02,9.457655340361861285e-01,5.423446596381363560e-02,9.496262758325136888e-01,5.037372416748627652e-02
1.036166768527186227e-01,9.437361215562410921e-01,5.626387844375897729e-02,9.454059997672317195e-01,5.459400023276809316e-02,9.493310982350389171e-01,5.066890176496113146e-02
1.046758735580552158e-01,9.434706591688227784e-01,5.652934083117734654e-02,9.451605752329266252e-01,5.483942476707313884e-02,9.491301034192978214e-01,5.086989658070218551e-02
1.051404515123174205e-01,9.433553979775484155e-01,5.664460202245168857e-02,9.450540756393641662e-01,5.494592436063563262e-02,9.490430114662562477e-01,5.095698853374380083e-02
1.066642261719162182e-01,9.429823121465882307e-01,5.701768785341181783e-02,9.447096084311330522e-01,5.529039156886676742e-02,9.487618545564785455e-01,5.123814544352144756e-02
1.077543947408703129e-01,9.427199960208552110e-01,5.728000397914492781e-02,9.444676537944373118e-01,5.553234620556248002e-02,9.485648668749355750e-01,5.143513312506436952e-02
1.081880008315150299e-01,9.426167152336307753e-01,5.738328476636933573e-02,9.443724449210878502e-01,5.562755507891201795e-02,9.484874665360187862e-01,5.151253346398121380e-02
1.097117754911138277e-01,9.422584584089458426e-01,5.774154159105419903e-02,9.440424318877779220e-01,5.595756811222188376e-02,9.482196864351897236e-01,5.178031356481026248e-02
1.108329159236853961e-01,9.419994658946660993e-01,5.800053410533396320e-02,9.438040965382172853e-01,5.619590346178257589e-02,9.480267889482925092e-01,5.197321105170753935e-02
1.112355501507126393e-01,9.419073928428037812e-01,5.809260715719636453e-02,9.437194161097529621e-01,5.628058389024689218e-02,9.479583532843042226e-01,5.204164671569572881e-02
1.127593248103114371e-01,9.415633697054742735e-01,5.843663029452578900e-02,9.434032443655623323e-01,5.659675563443754276e-02,9.477033061136752590e-01,5.229669388632476879e-02
1.136933105080459860e-01,9.413559205646317984e-01,5.864407943536829176e-02,9.432127665557258345e-01,5.678723344427392961e-02,9.475500149375917225e-01,5.244998506240831221e-02
1.139114371065004794e-01,9.413078414813329520e-01,5.869215851866711048e-02,9.431686399394759723e-01,5.683136006052386113e-02,9.475145422195485612e-01,5.248545778045144578e-02
1.142830994699102348e-01,9.412262401672276679e-01,5.877375983277244309e-02,9.430937634337555053e-01,5.690623656624435589e-02,9.474543839536154755e-01,5.254561604638453842e-02
1.158068741295090465e-01,9.408958778625909902e-01,5.910412213740907222e-02,9.427908442234571584e-01,5.720915577654271666e-02,9.472114537333647943e-01,5.278854626663516403e-02
1.169899582893155626e-01,9.406439576342031650e-01,5.935604236579688359e-02,9.425600874062941559e-01,5.743991259370561514e-02,9.470268771353537174e-01,5.297312286464620629e-02
1.173306487891078442e-01,9.405721402789787300e-01,5.942785972102131858e-02,9.424943405551299280e-01,5.750565944486989850e-02,9.469743633964505802e-01,5.302563660354939201e-02
1.188544234487066420e-01,9.402548636658487613e-01,5.974513633415124564e-02,9.422040834623683914e-01,5.779591653763138659e-02,9.467429346147956393e-01,5.325706538520431910e-02
1.200684794721306459e-01,9.400066221481120365e-01,5.999337785188803285e-02,9.419772148540281886e-01,5.802278514597161707e-02,9.465625170729176086e-01,5.343748292708231512e-02
1.203781981083054536e-01,9.399439306354981927e-01,6.005606936450191835e-02,9.419199537095122032e-01,5.808004629048760942e-02,9.465170463415329971e-01,5.348295365846700289e-02
1.219019727679042514e-01,9.396392238002236885e-01,6.036077619977636005e-02,9.416418320609009074e-01,5.835816793909896077e-02,9.462965775297954574e-01,5.370342247020448712e-02
1.231470006549457430e-01,9.393947976124120691e-01,6.060520238758803496e-02,9.414189646004257339e-01,5.858103539957413425e-02,9.461203781393049406e-01,5.387962186069504555e-02
1.234257474275030630e-01,9.393406257723224684e-01,6.065937422767763570e-02,9.413695992808739366e-01,5.863040071912586915e-02,9.460814071327161567e-01,5.391859286728383632e-02
1.249495220871018608e-01,9.390480191640913077e-01,6.095198083590878252e-02,9.411031361337710566e-01,5.889686386622874914e-02,9.458714141034278988e-01,5.412858589657210118e-02
1.262255218377608124e-01,9.388075160015924014e-01,6.119248399840764019e-02,9.408843533809873039e-01,5.911564661901256429e-02,9.456994621340886198e-01,5.430053786591138021e-02
1.264732967467006586e-01,9.387612865878272039e-01,6.123871341217284464e-02,9.408423233839318112e-01,5.915767661606800148e-02,9.456664773950637093e-01,5.433352260493631847e-02
1.279970714062994563e-01,9.384803106558271546e-01,6.151968934417287316e-02,9.405870417956957441e-01,5.941295820430405467e-02,9.454664759607563917e-01,5.453352403924356662e-02
1.293040430205759095e-01,9.382438092901423943e-01,6.175619070985761960e-02,9.403723979312135217e-01,5.962760206878632563e-02,9.452987708568416636e-01,5.470122914315830864e-02
1.295208460658982819e-01,9.382049739803881572e-01,6.179502601961191915e-02,9.403371721334025102e-01,5.966282786659732329e-02,9.452712887536390829e-01,5.472871124636087548e-02
1.309620386458910102e-01,9.379496424139939226e-01,6.205035758600618151e-02,9.401057165231173629e-01,5.989428347688249138e-02,9.450910004190034019e-01,5.490899958099659806e-02
1.310446207254970796e-01,9.379351591738070981e-01,6.206484082619301290e-02,9.400925951613916531e-01,5.990740483860820809e-02,9.450807947268446974e-01,5.491920527315531653e-02
1.323825642033910066e-01,9.377027094525514084e-01,6.229729054744870265e-02,9.398821149866050106e-01,6.011788501339482282e-02,9.449173061071372004e-01,5.508269389286281348e-02
1.325683953850958774e-01,9.376707488483808639e-01,6.232925115161921242e-02,9.398531916440027167e-01,6.014680835599713060e-02,9.448948728335060387e-01,5.510512716649392656e-02
1.340921700446946752e-01,9.374116549476643190e-01,6.258834505233579204e-02,9.396188734541863763e-01,6.038112654581351962e-02,9.447134368491825196e-01,5.528656315081752204e-02
1.354610853862060760e-01,9.371833142067429456e-01,6.281668579325710988e-02,9.394125912322597305e-01,6.058740876774015849e-02,9.445541486310592427e-01,5.544585136894078503e-02
1.356159447042934729e-01,9.371577423972663468e-01,6.284225760273379202e-02,9.393895028656145119e-01,6.061049713438539099e-02,9.445363458067659312e-01,5.546365419323405488e-02
1.371397193638922984e-01,9.369089000191189731e-01,6.309109998088115179e-02,9.391649674120450264e-01,6.083503258795480012e-02,9.443634867654476794e-01,5.563651323455234138e-02
1.385396065690211731e-01,9.366846784815401339e-01,6.331532151846000489e-02,9.389628692513692920e-01,6.103713074863057614e-02,9.442083335086116636e-01,5.579166649138835032e-02
1.386634940234910962e-01,9.366650352250489586e-01,6.333496477495116628e-02,9.389451743052773525e-01,6.105482569472251569e-02,9.441947686997415046e-01,5.580523130025848155e-02
1.401872686830898940e-01,9.364260554268829528e-01,6.357394457311710267e-02,9.387300307571104785e-01,6.126996924288934110e-02,9.440301005841613691e-01,5.596989941583861011e-02
1.416181277518362425e-01,9.362060126488745970e-01,6.379398735112552787e-02,9.385321562411566010e-01,6.146784375884326718e-02,9.438790793402861423e-01,5.612092065971382993e-02
1.417110433426886917e-01,9.361918680364478274e-01,6.380813196355224204e-02,9.385194439793438370e-01,6.148055602065603809e-02,9.438693913932212354e-01,5.613060860677882707e-02
1.432348180022874895e-01,9.359623804655702317e-01,6.403761953442986543e-02,9.383133211837764165e-01,6.168667881622341004e-02,9.437125501014347329e-01,5.628744989856527409e-02
1.446966489346513396e-01,9.357465531899842315e-01,6.425344681001589342e-02,9.381196870333533555e-01,6.188031296664650571e-02,9.435656354938580792e-01,5.643436450614194161e-02
1.447585926618863150e-01,9.357375001260768155e-01,6.426249987392324003e-02,9.381115695822076495e-01,6.188843041779222565e-02,9.435594856833159350e-01,5.644051431668405810e-02
1.462823673214851128e-01,9.355171344297944502e-01,6.448286557020566079e-02,9.379140963864365244e-01,6.208590361356326748e-02,9.434101071133786931e-01,5.658989288662129302e-02
1.477751701174664090e-01,9.353055365861068227e-01,6.469446341389328836e-02,9.377246964596913648e-01,6.227530354030853116e-02,9.432672513371026524e-01,5.673274866289740315e-02
1.478061419810839106e-01,9.353011907885496745e-01,6.469880921145039487e-02,9.377208088082624737e-01,6.227919119173732504e-02,9.432643233661369697e-01,5.673567663386310661e-02
1.493299166406827083e-01,9.350895766141693599e-01,6.491042338583072335e-02,9.375316140594847081e-01,6.246838594051517396e-02,9.431220434161043942e-01,5.687795658389561276e-02
1.508536913002814783e-01,9.348821993184801560e-01,6.511780068151991341e-02,9.373464193519022158e-01,6.265358064809760374e-02,9.429831762377950399e-01,5.701682376220493231e-02
1.508536913002815061e-01,9.348821993184801560e-01,6.511780068151991341e-02,9.373464193519022158e-01,6.265358064809760374e-02,9.429831762377950399e-01,5.701682376220493231e-02
